PAYS,CAPITALE,CONTINENT,POPULATION
Ouganda,Kampala,Afrique,37101745
Ouzbékistan,Tachkent,Asie,30492800
Pakistan,Islamabad,Asie,208638534
Panama,Panama,Amérique du Nord,3608431
Papouasie-Nouvelle-Guinée,Port Moresby,Asie,6552730
Paraguay,Asuncion,Amérique du Sud,6703860
Pays-Bas,Amsterdam,Europe,17045144
Pérou,Lima,Amérique du Sud,32207685
Philippines,Manille,Asie,102815800
Pologne,Varsovie,Europe,37967209
Polynésie Française,Papeete,Océanie,283007
Porto Rico,San Juan,Amérique du Nord,3195153
Portugal,Lisbonne,Europe,10341330
Qatar,Doha,Asie,2334029
République démocratique du Congo,Kinshasa,Afrique,85026000
République Dominicaine,Saint-Domingue,Amérique du Nord,9980243
République Tchèque,Prague,Europe,10445783
Réunion,Saint-Denis,Afrique,853659
Roumanie,Bucarest,Europe,19942642
Royaume-Uni,Londres,Europe,63421628
Russie,Moscou,Asie,126434660
Rwanda,Kigali,Afrique,12337138
Sahara Occidental,Laâyoune,Afrique,603253
Saint Kitts et Nevis,Basse Terre,Amérique du Nord,52329
Saint-Marin,Saint-Marin,Europe,33203
Saint-Vincent,Kingstown,Amérique du Nord,108600
Sainte-Lucie,Castries,Amérique du Nord,178015
Samoa Orientale,Apia,Océanie,193483
Sao Tomé et Principe,Sao Tomé,Afrique,199910
Sénégal,Dakar,Afrique,13567338
Serbie,Belgrade,Europe,7141929
Seychelles,Victoria,Afrique,94677
Sierra Léone,Freetown,Afrique,5743725
Singapour,Singapour,Asie,5312400
Slovaquie,Bratislava,Europe,5407910
Slovénie,Ljubljana,Europe,2064188
Somalie,Mogadiscio,Afrique,12316895
Soudan,Khartoum,Afrique,51000000
Sri Lanka,Sri Jayawardenapura Kotte,Asie,20675000
Suède,Stockholm,Europe,9998000
Suisse,Berne,Europe,8417700
Surinam,Paramaribo,Amérique du Sud,558368
Syrie,Damas,Asie,18090242
Tadjikistan,Douchanbé,Asie,8354000
Taïwan,Taipei,Asie,23449287
Tanzanie,Dodoma,Afrique,55155000
Tchad,N'Djamena,Afrique,11412107
Thaïlande,Bangkok,Asie,61380909
Togo,Lomé,Afrique,7351374
Tonga,Nuku'Alofa,Océanie,107122
Trinidad et Tobago,Port d'Espagne,Amérique du Nord,1365000
Tunisie,Tunis,Afrique,11438575
Turkménistan,Achkhabad,Asie,5171943
Turks et Caicos,Cockburn Town,Amérique du Nord,51507
Turquie,Ankara,Europe,82801420
Tuvalu,Funafuti,Océanie,11097
Ukraine,Kiev,Europe,42774605
Uruguay,Montevideo,Amérique du Sud,3332972
USA,Washington,Amérique du Nord,333516432
Vanuatu,Port-Vila,Océanie,270402
Vatican,Vatican,Europe,1024
Venezuela,Caracas,Amérique du Sud,30206307
Vietnam,Hanoi,Asie,91700000
Yemen,Sanaa,Asie,26180000
Zambie,Lusaka,Afrique,14638505
Zimbabwé,Hararé,Afrique,13771721
